id,category,question,answerable,expected_answer,expected_evidence,no_rag_answer,no_rag_time,rag_answer,retrieved_chunk_ids,retrieved_distances,retrieval_time,generation_time,total_time
q01,direct,What is asyncio designed to help Python programs write?,True,"asyncio is a library for writing concurrent code using Python's async/await syntax, especially suited to IO-bound and high-level structured network code.","[{""version"": ""py311"", ""source"": ""library/asyncio.html"", ""chunk_id"": ""py311_library_asyncio_000""}]","Asyncio is designed to help Python programs write **asynchronous, non‑blocking code**—especially for I/O‑bound tasks such as networking, file handling, and concurrent operations—using an event loop and `async`/`await` coroutines.",6.631,Asyncio is a library that helps Python programs write **concurrent code** using the async/await syntax (especially for IO‑bound and high‑level structured network code).【py311_library_asyncio_000】,"[""py311_library_asyncio_000"", ""py312_library_asyncio_000"", ""py312_whatsnew_3.12_015""]","[0.3264, 0.3264, 0.348]",1.438,1.12,9.189
q02,direct,What does Counter do in the collections module?,True,Counter is a dict subclass designed for counting hashable objects.,"[{""version"": ""py311"", ""source"": ""library/collections.html"", ""chunk_id"": ""py311_library_collections_000""}]","`collections.Counter` is a dictionary‑like subclass designed for counting hashable objects.  

- **What it stores:** keys are the items being counted; values are the number of times each item appears.  
- **How you create it:** `c = Counter(iterable)` or `c = Counter(mapping)` or `c = Counter(**kw)`.  
- **Common operations:**  
  - `c.update(other)` – add counts from another iterable or mapping.  
  - `c.subtract(other)` – subtract counts.  
  - `c.most_common([n])` – list the *n* most common elements (or all if *n* omitted).  
  - `c.elements()` – iterator over elements, repeating each as many times as its count (ignores non‑positive counts).  
  - Arithmetic & set‑like operations (`+`, `-`, `&`, `|`) combine counters element‑wise.  

**Example**

```python
from collections import Counter

words = ['apple', 'banana', 'apple', 'orange', 'banana', 'apple']
c = Counter(words)          # Counter({'apple': 3, 'banana': 2, 'orange': 1})

c['banana'] += 1            # now 3 bananas
c.most_common(2)            # [('apple', 3), ('banana', 3)]
list(c.elements())          # ['apple', 'apple', 'apple', 'banana', 'banana', 'banana', 'orange']
```

In short, `Counter` provides a fast, convenient way to tally occurrences of items.",2.76,"Counter is a `dict` subclass provided by the `collections` module that counts hashable objects.  It stores each distinct element as a dictionary key and its count as the corresponding value (the count may be any integer, including zero or negative).  Counter can be created from an iterable, another mapping, or keyword arguments, and it behaves like a normal dictionary except that missing keys return a count of 0 instead of raising `KeyError`. It also offers additional methods such as `elements()` to iterate over items repeated by their counts. [py311_library_collections_005]","[""py311_library_collections_005"", ""py312_library_collections_005"", ""py311_library_collections_009""]","[0.4871, 0.4871, 0.5102]",0.022,0.129,2.911
q03,direct,What does json.dumps() do?,True,json.dumps() serializes a Python object to a JSON-formatted string.,"[{""version"": ""py311"", ""source"": ""library/json.html"", ""chunk_id"": ""py311_library_json_003""}]","`json.dumps()` is a function in Python’s built‑in **json** module that **converts (serializes) a Python object into a JSON‑formatted string**.

Typical usage:

```python
import json

data = {""name"": ""Alice"", ""age"": 30, ""scores"": [85, 92, 78]}
json_str = json.dumps(data)
print(json_str)   # {""name"": ""Alice"", ""age"": 30, ""scores"": [85, 92, 78]}
```

Key points:

- **Supported types**: `dict`, `list`, `tuple`, `str`, `int`, `float`, `bool`, `None`, and nested combinations of these.
- **Returns**: a `str` containing the JSON representation.
- **Common optional arguments**:
  - `indent=4` – pretty‑prints with indentation.
  - `separators=(',', ': ')` – control how items are separated.
  - `ensure_ascii=False` – keep non‑ASCII characters as‑is instead of escaping them.
  - `default=func` – a fallback for objects that aren’t natively serializable.

In short, `json.dumps()` turns Python data structures into a JSON string that can be written to a file, sent over a network, or stored for later use.",0.999,"`json.dumps()` serializes (encodes) a Python object hierarchy into a JSON‑formatted **string**. It takes Python data such as lists, dicts, numbers, strings, etc., and returns their JSON representation (e.g., `'[""foo"", {""bar"": [""baz"", null, 1.0, 2]}]'`)【py311_library_json_000】.","[""py311_library_json_000"", ""py312_library_json_000"", ""py312_library_json_005""]","[0.407, 0.407, 0.4654]",0.023,1.045,2.067
q04,direct,When is re.search() preferred over re.match()?,True,re.search() is preferred when the desired match does not have to occur at the beginning of the string.,"[{""version"": ""py311"", ""source"": ""library/re.html"", ""chunk_id"": ""py311_library_re_036""}]","**Use `re.search()` when the pattern may appear anywhere in the string, not just at the start.**  

- `re.match(pattern, string)` checks **only** from the beginning of `string`. If the pattern isn’t at position 0, it fails.  
- `re.search(pattern, string)` scans the whole string and returns the first match it finds, regardless of its position.

**Prefer `re.search()`** in cases such as:

- Looking for a keyword, number, or sub‑pattern that could be embedded in a longer line.  
- Validating that a string contains a certain format somewhere (e.g., “contains a date” or “has at least one digit”).  
- Parsing logs, HTML, or any text where the target text isn’t guaranteed to start the line.

**Use `re.match()`** only when you need to enforce that the match starts at the very beginning of the string (e.g., validating a prefix, anchoring with `^`).  

In short: **choose `re.search()` whenever you don’t need the match to be anchored at the start.**",1.247,"`re.search()` should be used when you need to find a match **anywhere** in the target string, not just at its start. In contrast, `re.match()` only succeeds if the pattern matches at the beginning of the string (even with `MULTILINE` it does not match at the start of each line). Therefore, when the desired match can appear at any position in the string, `re.search()` is the preferred function【py312_library_re_022】.","[""py312_library_re_022"", ""py311_library_re_022"", ""py311_library_re_029""]","[0.3104, 0.3354, 0.3916]",0.032,1.039,2.318
q05,direct,What does the pathlib Path class provide?,True,"Path provides object-oriented filesystem path handling, including operations such as checking paths and opening files.","[{""version"": ""py311"", ""source"": ""library/pathlib.html"", ""chunk_id"": ""py311_library_pathlib_000""}]","The **`pathlib.Path`** class is a high‑level, object‑oriented interface for filesystem paths. It provides:

* **Unified path handling** for Windows, POSIX, and other platforms via a single class (`Path`, `PosixPath`, `WindowsPath`).
* **Path construction & manipulation** – overloads `/` (or `joinpath`) to concatenate parts, and offers properties like `.name`, `.stem`, `.suffix`, `.parent`, `.parts`, etc.
* **File‑system operations** – methods such as `.exists()`, `.is_file()`, `.is_dir()`, `.mkdir()`, `.rmdir()`, `.unlink()`, `.rename()`, `.replace()`, `.touch()`.
* **Reading & writing** – convenient helpers like `.read_text()`, `.write_text()`, `.read_bytes()`, `.write_bytes()`, and `.open()` for custom modes.
* **Directory traversal** – `.iterdir()`, `.glob()`, `.rglob()` for pattern‑based iteration, plus `.walk()`‑style recursion via `rglob`.
* **Metadata access** – `.stat()`, `.owner()`, `.group()`, `.chmod()`, `.chmod()`, and convenience properties like `.size`, `.mtime`, `.atime`, `.ctime`.
* **Convenient conversions** – `Path` can be cast to `str`, used directly with functions expecting a path string, and interoperates with `os` and `shutil` utilities.
* **Context‑manager support** – can be used with `with Path(...).open(...) as f:` for safe file handling.

Overall, `pathlib.Path` replaces many `os.path` and `os` functions with a clean, chainable API that makes path manipulation and file I/O more readable and Pythonic.",1.215,"The `Path` class is the concrete, platform‑specific path type. It builds on the pure‑path classes but adds real filesystem I/O operations. Using a `Path` you can:

* instantiate a path that matches the OS you’re running on,
* iterate a directory (`iterdir()`), glob for files (`glob()`),
* combine path components with the “/” operator,
* resolve symbolic links (`resolve()`),
* query the filesystem (`exists()`, `is_dir()`, etc.),
* open the file the path points to (`open()`),

and generally perform any standard file‑system calls on the path object [py312_library_pathlib_000][py311_library_pathlib_000].","[""py312_library_pathlib_000"", ""py311_library_pathlib_000"", ""py312_library_pathlib_009""]","[0.2737, 0.2772, 0.3308]",0.022,19.241,20.478
q06,paraphrased,"If a program needs to run several coroutines concurrently and manage their execution, which Python library is intended for that purpose?",True,asyncio.,"[{""version"": ""py311"", ""source"": ""library/asyncio.html"", ""chunk_id"": ""py311_library_asyncio_000""}]",The standard library for running and managing multiple coroutines concurrently in Python is **`asyncio`**.,2.88,The **asyncio** library is designed for running Python coroutines concurrently and giving you full control over their execution【py311_library_asyncio_000】.,"[""py311_library_asyncio_000"", ""py312_library_asyncio_000"", ""py312_library_os_077""]","[0.3978, 0.3978, 0.4804]",0.027,10.113,13.02
q07,paraphrased,"In a try/except construct, what is the purpose of the else clause?",True,The else clause runs when no exception occurs in the try clause. It can keep code that should run only after a successful try separate from the protected code.,"[{""version"": ""py311"", ""source"": ""tutorial/errors.html"", ""chunk_id"": ""py311_tutorial_errors_005""}]","The `else` block runs **only when the `try` block finishes without raising any exception**.  

- It lets you separate code that should execute **only if the operation succeeded** from the code that might raise the exception (which belongs in the `try`).  
- This makes the intent clearer and avoids catching exceptions that you didn’t expect.  

Typical use‑case:

```python
try:
    data = open('file.txt').read()   # may raise IOError
except IOError as e:
    handle_error(e)
else:
    process(data)                    # runs only if the file was read successfully
```

If an exception occurs, the `except` block handles it and the `else` block is skipped. If no exception occurs, the `else` block runs, and then any `finally` block (if present) runs afterward.",3.205,"The else clause of a try/except statement is executed only when the try suite finishes **without raising any exception**. It lets you run code that should occur after a successful try block, separate from the exception handlers. [py312_tutorial_controlflow_005]","[""py311_reference_compound_stmts_004"", ""py312_tutorial_controlflow_005"", ""py312_reference_compound_stmts_004""]","[0.4168, 0.4381, 0.4395]",0.035,10.449,13.689
q08,paraphrased,How does defaultdict behave when a requested key is missing?,True,It calls its factory function to supply a value for a missing key.,"[{""version"": ""py311"", ""source"": ""library/collections.html"", ""chunk_id"": ""py311_library_collections_018""}]","`defaultdict` (from `collections`) overrides the normal dictionary’s `__getitem__` behavior.  

- When you access a key that **does not exist**, `defaultdict` calls its **`default_factory`** function.  
- The result of that call is inserted into the dictionary under the missing key, and the same value is returned to the caller.  

So the missing key is automatically created with a default value instead of raising a `KeyError`.  

If the `default_factory` is set to **`None`** (the same as a regular `dict`), the usual `KeyError` is raised for missing keys.  

**Example**

```python
from collections import defaultdict

# default_factory creates an empty list for each new key
d = defaultdict(list)

d['a'].append(1)   # 'a' didn't exist, so [] is created, then 1 is appended
print(d)           # defaultdict(<class 'list'>, {'a': [1]})

# default_factory creates 0 for each new key
c = defaultdict(int)
print(c['missing'])  # 0, and the key 'missing' is now in the dict
```

In short: a missing key triggers the `default_factory` to generate and store a default value, preventing a `KeyError` (unless `default_factory` is `None`).",3.388,"When a key is not present, the dictionary’s `__getitem__()` calls the `__missing__()` method of **defaultdict**.  
`__missing__()` uses the `default_factory` to create a new value, inserts that value for the missing key, and returns it (or propagates any exception raised by `default_factory`). This behavior applies only to `__getitem__()`; other operations such as `get()` do **not** invoke `default_factory` and behave like a normal dict, returning `None` (or the supplied default) when the key is absent.  

[py311_library_collections_017]","[""py311_library_collections_017"", ""py312_library_collections_017"", ""py311_whatsnew_3.11_004""]","[0.3275, 0.3275, 0.4443]",0.025,14.223,17.636
q09,paraphrased,What problem does ExceptionGroup solve?,True,ExceptionGroup allows multiple exception instances to be collected and raised together instead of stopping at the first exception.,"[{""version"": ""py311"", ""source"": ""tutorial/errors.html"", ""chunk_id"": ""py311_tutorial_errors_010""}]","ExceptionGroup was introduced to let a program **represent and handle multiple exceptions that occur at the same time**—something the traditional single‑exception model can’t do cleanly.

* **Concurrent code** (e.g., `asyncio.gather`, thread pools, multiprocessing) often runs many tasks in parallel. When several of those tasks fail, only the first exception would normally be propagated, silently discarding the others.
* **Exception chaining** (`raise ... from ...`) can link one cause to another, but it still represents a linear chain, not a set of independent failures.
* **Error‑aggregation APIs** (like `concurrent.futures.wait` or `asyncio.gather(..., return_exceptions=True)`) needed a uniform way to surface all the failures together.

`ExceptionGroup` solves this by:

1. **Bundling** any number of exception instances into a single object.
2. Providing **structured introspection** (`.exceptions`, `.split()`, `except*` syntax) so callers can catch, filter, or process subsets of the contained errors.
3. Preserving the full traceback and context of each individual exception, so no diagnostic information is lost.

In short, ExceptionGroup enables robust, expressive handling of *multiple simultaneous errors*—particularly in asynchronous or parallel programming—without sacrificing any exception details.",3.53,"ExceptionGroup lets a program raise **multiple exceptions at once** and then handle them individually.  
The `except*` clause is specifically for “handling ExceptionGroups”, allowing partial matches so that several `except*` clauses can each process a subset of the exceptions in the group, with each exception being handled by at most one clause. Any exceptions that aren’t matched are re‑raised together as an ExceptionGroup again. This mechanism solves the problem of dealing with several concurrent exceptions rather than being limited to a single exception per `raise` statement.  

[py311_reference_compound_stmts_006]  
[py311_reference_compound_stmts_007]","[""py311_reference_compound_stmts_007"", ""py311_reference_compound_stmts_006"", ""py312_reference_compound_stmts_006""]","[0.471, 0.483, 0.483]",0.023,15.971,19.524
q10,paraphrased,What is the effect of adding a note to an exception with add_note()?,True,"It adds a string to the exception's notes, and the standard traceback rendering includes those notes in the order they were added.","[{""version"": ""py311"", ""source"": ""tutorial/errors.html"", ""chunk_id"": ""py311_tutorial_errors_012""}]","`add_note()` attaches an extra piece of text to the exception’s **`__notes__`** list. When the exception is printed (e.g., in a traceback), each note is shown after the main error message, giving you a convenient way to add contextual information without changing the exception type or its handling. It’s purely for richer diagnostics.",3.147,"Adding a note with `add_note()` stores the given string in the exception’s internal **notes list**. When the exception is later displayed, the standard traceback prints each note (in the order they were added) after the exception’s type and message, allowing extra context to be shown. [py311_tutorial_errors_012] [py311_whatsnew_3.11_002]","[""py311_tutorial_errors_012"", ""py312_tutorial_errors_012"", ""py311_whatsnew_3.11_002""]","[0.3203, 0.3203, 0.4081]",0.031,11.612,14.79
